museum_id,sex,age_class,species,museum_collection
MECN13062,NA,NA,Pristimantis proserpens ,MECN
MUTPL173,F,Adult,Pristimantis vidua,MUTPL
MUTPL296,M,Adult,Pristimantis vidua,MUTPL
MUTPL492,M ,Adult,Pristimantis vidua,MUTPL
MUTPL496,M,Adult,Pristimantis vidua,MUTPL
MUTPL581,M,Adult,Pristimantis vidua,MUTPL
MUTPL587,F,Juvenile,Pristimantis vidua,MUTPL
MUTPL239,M,Adult,Pristimantis tiktik,MUTPL
MUTPL247,F,Adult,Pristimantis tiktik,MUTPL
MZUA2495,M ,Adult,Pristimantis tiktik,MZUA
MZUA2498,M ,Adult,Pristimantis tiktik,MZUA
MZUA2503,M ,Adult,Pristimantis tiktik,MZUA
MZUA2504,M ,Adult,Pristimantis tiktik,MZUA
MZUA2508,M ,Adult,Pristimantis tiktik,MZUA
MZUA2513,NA,Adult,Pristimantis tiktik,MZUA
MECN3112,NA,NA,Pristimantis sp9,MECN
MECN8177,M,Adult,Pristimantis sp9,MECN
MECN8184,F,Adult,Pristimantis sp9,MECN
MECN8185,F,Juvenile,Pristimantis sp9,MECN
MECN8186,F,Adult,Pristimantis sp9,MECN
MECN8187,F,Juvenile,Pristimantis sp9,MECN
MECN8188,M,Adult,Pristimantis sp9,MECN
MECN8189,F,Juvenile,Pristimantis sp9,MECN
MECN8190,F,Adult,Pristimantis sp9,MECN
MECN8192,M,Adult,Pristimantis sp9,MECN
MECN8193,M,Adult,Pristimantis sp9,MECN
MECN8194,M,Adult,Pristimantis sp9,MECN
MECN8195,F,Adult,Pristimantis sp9,MECN
MECN9656,M,Juvenile,Pristimantis sp9,MECN
MZUA1865,M ,Adult,Pristimantis sp8,MZUA
MZUA1865,M ,Adult,Pristimantis sp8,MZUA
MZUA1866,NA,Adult,Pristimantis sp8,MZUA
MZUA1907,F,Adult,Pristimantis sp8,MZUA
MZUA1911,NA,NA,Pristimantis sp8,MZUA
MZUA1912,F,Adult,Pristimantis sp8,MZUA
MZUA1915,F,Juvenile,Pristimantis sp8,MZUA
MZUA1970,M ,Adult,Pristimantis sp8,MZUA
MZUA1970,M ,Adult,Pristimantis sp8,MZUA
MZUA1979,F,Adult,Pristimantis sp8,MZUA
MZUA0929,NA,NA,Pristimantis sp7,MZUA
MZUA0940,F,Adult,Pristimantis sp7,MZUA
MZUA0942,F,Adult,Pristimantis sp7,MZUA
MZUA0951,NA,Juvenile,Pristimantis sp7,MZUA
MZUA0955,F,Juvenile,Pristimantis sp7,MZUA
MZUA0959,NA,Juvenile,Pristimantis sp7,MZUA
MZUA0961,F,Adult,Pristimantis sp7,MZUA
MUTPL174,NA,Juvenile,Pristimantis sp5,MUTPL
MUTPL362,F,Juvenile,Pristimantis sp5,MUTPL
MUTPL366,F,Adult,Pristimantis sp5,MUTPL
MUTPL394,NA,NA,Pristimantis sp5,MUTPL
QCAZ45652,M ,Adult,Pristimantis sp5,QCAZ
QCAZ61152,F,Adult,Pristimantis sp5,QCAZ
QCAZ61235,M,Adult,Pristimantis sp5,QCAZ
QCAZ63640,F,Adult,Pristimantis sp5,QCAZ
QCAZ63641,M,Adult,Pristimantis sp5,QCAZ
QCAZ63642,M,Adult,Pristimantis sp5,QCAZ
QCAZ61153,F,Juvenile,Pristimantis sp4,QCAZ
QCAZ61154,M,Adult,Pristimantis sp4,QCAZ
QCAZ61155,F,Juvenile,Pristimantis sp4,QCAZ
QCAZ61156,M,Adult,Pristimantis sp4,QCAZ
QCAZ63665,M,Adult,Pristimantis sp4,QCAZ
QCAZ52867,M,Adult,Pristimantis sp31,QCAZ
QCAZ57204,F,Adult,Pristimantis sp31,QCAZ
MUTPL136,M,Adult,Pristimantis sp30,MUTPL
MUTPL137,F,Juvenile,Pristimantis sp30,MUTPL
MUTPL141,F,Adult,Pristimantis sp30,MUTPL
MUTPL165,M,Adult,Pristimantis sp30,MUTPL
QCAZ45520,F,Juvenile,Pristimantis sp30,QCAZ
QCAZ45527,F,Adult,Pristimantis sp30,QCAZ
QCAZ45531,F,Adult,Pristimantis sp30,QCAZ
QCAZ45543,F,Adult,Pristimantis sp30,QCAZ
QCAZ45544,F,Adult,Pristimantis sp30,QCAZ
QCAZ45548,NA,NA,Pristimantis sp30,QCAZ
QCAZ45622,F,Adult,Pristimantis sp30,QCAZ
QCAZ45675,F,Adult,Pristimantis sp30,QCAZ
QCAZ54345,F,Adult,Pristimantis sp30,QCAZ
MZUA1908,NA,NA,Pristimantis sp3,MZUA
MZUA1926,NA,NA,Pristimantis sp3,MZUA
QCAZ62013,F,Adult,Pristimantis sp29,QCAZ
MUTPL357,F,Adult,Pristimantis sp28,MUTPL
MUTPL365,F,Adult,Pristimantis sp28,MUTPL
MZUA2677,F,Juvenile,Pristimantis sp28,MZUA
MZUA2682,M ,Adult,Pristimantis sp28,MZUA
MZUA2691,NA,NA,Pristimantis sp28,MZUA
MZUA2445,M,Adult,Pristimantis sp27,MZUA
MZUA2447,M ,Adult,Pristimantis sp27,MZUA
MZUA2448,M,Adult,Pristimantis sp27,MZUA
MZUA2453,M,Adult,Pristimantis sp27,MZUA
MZUA2463,M,Adult,Pristimantis sp27,MZUA
MZUA2466,F,Adult,Pristimantis sp27,MZUA
MZUA2468,F,Adult,Pristimantis sp27,MZUA
QCAZ23927,F,Adult,Pristimantis sp27,QCAZ
QCAZ61117,F,Adult,Pristimantis sp27,QCAZ
QCAZ61127,F,Adult,Pristimantis sp27,QCAZ
QCAZ61128,F,Adult,Pristimantis sp27,QCAZ
QCAZ61137,F,Adult,Pristimantis sp27,QCAZ
QCAZ61139,F,Juvenile,Pristimantis sp27,QCAZ
QCAZ61259,M,Adult,Pristimantis sp27,QCAZ
MECN12235,F,Adult,Pristimantis sp26,MECN
MECN12237,F,Adult,Pristimantis sp26,MECN
MECN12239,M ,Adult,Pristimantis sp26,MECN
MZUA0368,F,Adult,Pristimantis sp25,MZUA
MZUA0397,F,Juvenile,Pristimantis sp25,MZUA
MZUA0416,F,Adult,Pristimantis sp25,MZUA
MZUA0420,M ,Adult,Pristimantis sp25,MZUA
MZUA0851,F,Adult,Pristimantis sp25,MZUA
MZUA1333,F,Adult,Pristimantis sp25,MZUA
MZUA1367,NA,NA,Pristimantis sp25,MZUA
MZUA1368,NA,NA,Pristimantis sp25,MZUA
MZUA1374,M,Adult,Pristimantis sp25,MZUA
MZUA1376,NA,NA,Pristimantis sp25,MZUA
MZUA1383,NA,NA,Pristimantis sp25,MZUA
MZUA1390,NA,NA,Pristimantis sp25,MZUA
MZUA1416,NA,NA,Pristimantis sp25,MZUA
QCAZ46990,NA,NA,Pristimantis sp25,QCAZ
MZUA2037,M ,Adult,Pristimantis sp24,MZUA
MZUA2043,F,Adult,Pristimantis sp24,MZUA
MZUA2058,F,Adult,Pristimantis sp24,MZUA
MZUA2099,M ,Adult,Pristimantis sp24,MZUA
MZUA2502,F,Adult,Pristimantis sp24,MZUA
PROV12,NA,NA,Pristimantis sp24,MZUA
PROV13,NA,NA,Pristimantis sp24,MZUA
MZUA0558,M ,Adult,Pristimantis sp21,MZUA
MZUA0668,F,Adult,Pristimantis sp21,MZUA
MZUA0729,F,Juvenile,Pristimantis sp21,MZUA
MZUA1172,NA,NA,Pristimantis sp21,MZUA
MZUA1174,NA,NA,Pristimantis sp21,MZUA
MZUA1175,NA,NA,Pristimantis sp21,MZUA
MZUA1179,NA,NA,Pristimantis sp21,MZUA
MZUA1181,NA,NA,Pristimantis sp21,MZUA
MZUA1186,NA,NA,Pristimantis sp21,MZUA
MZUA1357,M ,Adult,Pristimantis sp21,MZUA
MZUA1485,M ,Adult,Pristimantis sp21,MZUA
MZUA1632,NA,NA,Pristimantis sp21,MZUA
MZUA2674,F,Adult,Pristimantis sp21,MZUA
MZUA2680,M ,Adult,Pristimantis sp21,MZUA
MZUA2685,F,Adult,Pristimantis sp21,MZUA
MZUA2687,M,Adult,Pristimantis sp21,MZUA
MZUA2692,M ,Adult,Pristimantis sp21,MZUA
QCAZ56535,F,Adult,Pristimantis sp21,QCAZ
QCAZ56539,F,Adult,Pristimantis sp21,QCAZ
MZUA0850,F,Adult,Pristimantis sp20,MZUA
MZUA2393,NA,NA,Pristimantis sp20,MZUA
MZUA2394,NA,NA,Pristimantis sp20,MZUA
MZUA2396,F,Adult,Pristimantis sp20,MZUA
MZUA2405,NA,NA,Pristimantis sp20,MZUA
MZUA2407,NA,NA,Pristimantis sp20,MZUA
MZUA2555,M ,Adult,Pristimantis sp20,MZUA
MZUA2570,NA,NA,Pristimantis sp20,MZUA
MZUA2572,NA,NA,Pristimantis sp20,MZUA
MZUA2576,F,Adult,Pristimantis sp20,MZUA
MZUA2589,M ,Adult,Pristimantis sp20,MZUA
MZUA2992,NA,NA,Pristimantis sp20,MZUA
MZUA2995,NA,NA,Pristimantis sp20,MZUA
MZUA363,F,Adult,Pristimantis sp20,MZUA
MZUA365,F,Adult,Pristimantis sp20,MZUA
VLU391,F,Adult,Pristimantis sp20,MZUA
VLU392,NA,NA,Pristimantis sp20,MZUA
VLU394,NA,NA,Pristimantis sp20,MZUA
AES2457,F,Adult,Pristimantis sp2,MECN
MZUA0695,F,Adult,Pristimantis sp2,MZUA
MZUA0718,M,Adult,Pristimantis sp2,MZUA
MZUA0726,M,Adult,Pristimantis sp2,MZUA
MZUA0730,F,Adult,Pristimantis sp2,MZUA
MZUA0735,M,Adult,Pristimantis sp2,MZUA
MZUA0740,M,Juvenile,Pristimantis sp2,MZUA
MZUA0742,F,Juvenile,Pristimantis sp2,MZUA
MZUA0772,M,Adult,Pristimantis sp2,MZUA
MZUA0935,F,Juvenile,Pristimantis sp2,MZUA
MZUA0947,NA,NA,Pristimantis sp2,MZUA
MZUA1118,M,Adult,Pristimantis sp2,MZUA
MZUA1134,F,Adult,Pristimantis sp2,MZUA
AES2208,F,Juvenile,Pristimantis sp19,MECN
AES2475,M,Adult,Pristimantis sp19,MECN
AES2516,F,Juvenile,Pristimantis sp19,MECN
MZUA2269,F,Adult,Pristimantis sp19,MZUA
MZUA2280,F,Juvenile,Pristimantis sp19,MZUA
MZUA2283,M ,Adult,Pristimantis sp19,MZUA
MZUA2425,F,Adult,Pristimantis sp19,MZUA
MZUA2426,F,Juvenile,Pristimantis sp19,MZUA
MZUA2429,M,Adult,Pristimantis sp19,MZUA
MZUA2430,M,Juvenile,Pristimantis sp19,MZUA
MZUA2434,F,Juvenile,Pristimantis sp19,MZUA
MZUA2435,NA,Juvenile,Pristimantis sp19,MZUA
MZUA2441,M,Adult,Pristimantis sp19,MZUA
MZUA2539,NA,NA,Pristimantis sp19,MZUA
MZUA2547,M ,Adult,Pristimantis sp19,MZUA
MZUA2549,M,Adult,Pristimantis sp19,MZUA
MZUA2721,M,Adult,Pristimantis sp19,MZUA
MZUA2732,F,Juvenile,Pristimantis sp19,MZUA
MZUA2735,F,Juvenile,Pristimantis sp19,MZUA
MZUA2736,M,Adult,Pristimantis sp19,MZUA
MZUA2739,F,Juvenile,Pristimantis sp19,MZUA
MZUA2741,F,Juvenile,Pristimantis sp19,MZUA
MZUA2744,NA,Juvenile,Pristimantis sp19,MZUA
MZUA2745,M,Adult,Pristimantis sp19,MZUA
MZUA2749,F,Adult,Pristimantis sp19,MZUA
MZUA2751,NA,NA,Pristimantis sp19,MZUA
MZUA1338,M,Adult,Pristimantis sp18,MZUA
MZUA1371,F,Adult,Pristimantis sp18,MZUA
MZUA1373,F,Adult,Pristimantis sp18,MZUA
MZUA1397,F,Juvenile,Pristimantis sp18,MZUA
MZUA1398,M,Adult,Pristimantis sp18,MZUA
AES2392,M,Juvenile,Pristimantis sp17,MECN
AES2528,NA,NA,Pristimantis sp17,MECN
AES2539,M,Adult,Pristimantis sp17,MECN
AES2555,F,Adult,Pristimantis sp17,MECN
AES2557,M,Adult,Pristimantis sp17,MECN
MECN11963,NA,NA,Pristimantis sp17,MECN
MECN11964,NA,NA,Pristimantis sp17,MECN
MZUA0841,M ,Adult,Pristimantis sp17,MZUA
MZUA0843,M,Adult,Pristimantis sp17,MZUA
MZUA1765,F,Juvenile,Pristimantis sp17,MZUA
MZUA2750,F,Adult,Pristimantis sp17,MZUA
MZUA2756,M,Adult,Pristimantis sp17,MZUA
MZUA2757,F,Adult,Pristimantis sp17,MZUA
MZUA2758,F,Adult,Pristimantis sp17,MZUA
MUTPL149,M,Adult,Pristimantis sp15,MUTPL
MUTPL151,F,Juvenile,Pristimantis sp15,MUTPL
MUTPL161,F,Juvenile,Pristimantis sp15,MUTPL
MUTPL206,F,Adult,Pristimantis sp15,MUTPL
QCAZ47632,M ,Adult,Pristimantis sp15,QCAZ
MUTPL127,M,Adult,Pristimantis sp14,MUTPL
MUTPL363,F,Adult,Pristimantis sp14,MUTPL
MUTPL517,M,Adult,Pristimantis sp14,MUTPL
QCAZ45556,M,Adult,Pristimantis sp14,QCAZ
QCAZ45672,F,Juvenile,Pristimantis sp14,QCAZ
QCAZ47594,M,Adult,Pristimantis sp14,QCAZ
QCAZ31460,F,Adult,Pristimantis sp13,QCAZ
MECN10810,NA,NA,Pristimantis sp12,MECN
MECN10869,M,Adult,Pristimantis sp12,MECN
MECN10870,NA,NA,Pristimantis sp12,MECN
MECN10871,M,Adult,Pristimantis sp12,MECN
MECN10871,NA,NA,Pristimantis sp12,MECN
MUTPL258,M,Adult,Pristimantis sp12,MUTPL
MUTPL259,M,Adult,Pristimantis sp12,MUTPL
QCAZ45096,F,Juvenile,Pristimantis sp12,QCAZ
QCAZ56444,M,Adult,Pristimantis sp11,QCAZ
QCAZ56449,M,Adult,Pristimantis sp11,QCAZ
QCAZ65018,F,Juvenile,Pristimantis sp10,QCAZ
QCAZ65022,F,Adult,Pristimantis sp10,QCAZ
QCAZ65137,F,Juvenile,Pristimantis sp10,QCAZ
MECN12219,NA,NA,Pristimantis sp1,MECN
MECN12222,M,Adult,Pristimantis sp1,MECN
MECN12223,NA,Juvenile,Pristimantis sp1,MECN
QCAZ56567,M,Adult,Pristimantis simonbolivari,QCAZ
QCAZ64890,M,Adult,Pristimantis simonbolivari,QCAZ
QCAZ64895,M,Adult,Pristimantis simonbolivari,QCAZ
MECN12214,NA,NA,Pristimantis saturninoi,MECN
MECN12232,NA,NA,Pristimantis saturninoi,MECN
MZUA1748,F,Adult,Pristimantis quintanai,MZUA
MZUA1871,F,Adult,Pristimantis quintanai,MZUA
MZUA1874,F,Adult,Pristimantis quintanai,MZUA
MZUA1881,NA,NA,Pristimantis quintanai,MZUA
MZUA1882,F,Adult,Pristimantis quintanai,MZUA
MZUA1885,F,Adult,Pristimantis quintanai,MZUA
MZUA1891,F,Adult,Pristimantis quintanai,MZUA
MZUA1894,F,Adult,Pristimantis quintanai,MZUA
MZUA1898,F,Adult,Pristimantis quintanai,MZUA
MZUA1899,F,Adult,Pristimantis quintanai,MZUA
MZUA1900,M ,Adult,Pristimantis quintanai,MZUA
MZUA1901,M ,Adult,Pristimantis quintanai,MZUA
MZUA2705,F,Adult,Pristimantis quintanai,MZUA
MUTPL00403,F,Adult,Pristimantis proserpens,MUTPL
MUTPL242,M,Adult,Pristimantis orestes,MUTPL
MUTPL248,M,Adult,Pristimantis orestes,MUTPL
MUTPL249,M,Adult,Pristimantis orestes,MUTPL
MZUA1143,F,Adult,Pristimantis orestes,MZUA
MZUA1147,F,Adult,Pristimantis orestes,MZUA
MZUA1149,F,Adult,Pristimantis orestes,MZUA
MZUA1154,M,Adult,Pristimantis orestes,MZUA
MZUA1157,M ,Adult,Pristimantis orestes,MZUA
MZUA1159,F,Adult,Pristimantis orestes,MZUA
MZUA1163,NA,Adult,Pristimantis orestes,MZUA
MZUA1194,F,Adult,Pristimantis orestes,MZUA
MZUA2222,F,Juvenile,Pristimantis orestes,MZUA
MZUA2493,M ,Adult,Pristimantis orestes,MZUA
MZUA2506,M ,Adult,Pristimantis orestes,MZUA
QCAZ57202,F,Adult,Pristimantis orestes,QCAZ
QCAZ61234,M,Adult,Pristimantis muranunka,QCAZ
QCAZ65196,F,Adult,Pristimantis muranunka,QCAZ
QCAZ65220,F,Adult,Pristimantis muranunka,QCAZ
MZUA1851,F,Adult,Pristimantis mazar,MZUA
MZUA1857,NA,NA,Pristimantis mazar,MZUA
MZUA1859,F,Adult,Pristimantis mazar,MZUA
MZUA1904,NA,NA,Pristimantis mazar,MZUA
MZUA1909,NA,NA,Pristimantis mazar,MZUA
MZUA1933,M ,Adult,Pristimantis mazar,MZUA
MZUA1935,F,Adult,Pristimantis mazar,MZUA
MZUA1939,F,Adult,Pristimantis mazar,MZUA
MZUA1948,M ,Adult,Pristimantis mazar,MZUA
MZUA1949,M ,Adult,Pristimantis mazar,MZUA
MZUA1952,M ,Adult,Pristimantis mazar,MZUA
MZUA1954,NA,Adult,Pristimantis mazar,MZUA
MZUA1957,F,Adult,Pristimantis mazar,MZUA
MZUA1960,NA,NA,Pristimantis mazar,MZUA
MZUA1967,F,Adult,Pristimantis mazar,MZUA
MZUA1968,F,Adult,Pristimantis mazar,MZUA
MZUA1975,F,Adult,Pristimantis mazar,MZUA
QCAZ27559,F,Adult,Pristimantis mazar,QCAZ
QCAZ27563,NA,NA,Pristimantis mazar,QCAZ
QCAZ27607,M ,Adult,Pristimantis mazar,QCAZ
MUTPL311,F,Juvenile,Pristimantis colodactylus,MUTPL
MUTPL388,F,Adult,Pristimantis colodactylus,MUTPL
MUTPL142,F,Adult,Pristimantis cajanuma,MUTPL
MUTPL157,F,Juvenile,Pristimantis cajanuma,MUTPL
MUTPL158,F,Juvenile,Pristimantis cajanuma,MUTPL
MUTPL160,F,Juvenile,Pristimantis cajanuma,MUTPL
MUTPL353,M,Adult,Pristimantis cajanuma,MUTPL
AES2451,NA,NA,Pristimantis bromeliaceus,MZUA
MECN11389,NA,NA,Pristimantis bambu,MECN
MECN11395,NA,NA,Pristimantis bambu,MECN
MECN11398,NA,NA,Pristimantis bambu,MECN
MZUA0795,NA,NA,Pristimantis bambu,MZUA
MZUA0797,NA,NA,Pristimantis bambu,MZUA
MZUA1920,NA,NA,Pristimantis bambu,MZUA
MZUA2236,M ,Adult,Pristimantis bambu,MZUA
MZUA2703,NA,NA,Pristimantis bambu,MZUA
MZUA2707,NA,NA,Pristimantis bambu,MZUA
MZUA2715,NA,NA,Pristimantis bambu,MZUA
QCAZ46708,NA,NA,Pristimantis bambu,QCAZ
QCAZ46743,F,Adult,Pristimantis bambu,QCAZ
QCAZ46744,F,Adult,Pristimantis bambu,QCAZ
QCAZ68126,F,Juvenile,Pristimantis bambu,QCAZ
VLU397,NA,NA,Pristimantis bambu,MZUA
MUTPL162,F,Juvenile,Pristimantis andinognomus,MUTPL
MUTPL163,F,Adult,Pristimantis andinognomus,MUTPL
MUTPL166,M ,Adult,Pristimantis andinognomus,MUTPL
MUTPL193,F,Adult,Pristimantis andinognomus,MUTPL
MUTPL195,NA,Juvenile,Pristimantis andinognomus,MUTPL
MZUA2490,F,Adult,Pristimantis andinognomus,MZUA
QCAZ26325,F,Adult,Pristimantis andinognomus,QCAZ
QCAZ45582,F,Adult,Pristimantis andinognomus,QCAZ
QCAZ45601,F,Adult,Pristimantis andinognomus,QCAZ
QCAZ53741,F,Adult,Pristimantis andinognomus,QCAZ
QCAZ61039,NA,NA,Pristimantis andinognomus,QCAZ
AES2464,NA,Juvenile,NA,MECN
MECN02505,NA,NA,NA,MECN
MECN10799,NA,NA,NA,MECN
MECN11388,NA,NA,NA,MECN
MECN11393,NA,NA,NA,MECN
