record_id,museum_id,sampling_point,locality,province,date,coordinates_x,coordinates_y,elevation,collector
1,AES2208,Angas alto,Angas,Azuay,NA,689997,9679823,3949,"Cristian Villalta, Ervin Ramirez"
2,AES2392,Tinajillas alto,Tinajillas,Morona Santiago,NA,761408,9667836,3146,"Cristian Villalta, Ervin Ramirez"
3,AES2450,Tinajillas medio,Tinajillas,Morona Santiago,NA,768733,9666165,2195,"Cristian Villalta, Ervin Ramirez"
4,AES2451,Tinajillas medio,Tinajillas,Morona Santiago,NA,768733,9666165,2195,"Cristian Villalta, Ervin Ramirez"
5,AES2457,Tinajillas medio,Tinajillas,Morona Santiago,NA,768733,9666165,2195,"Cristian Villalta, Ervin Ramirez"
6,AES2464,Tinajillas,Tinajillas,Morona Santiago,NA,761408,9667836,3146,"Cristian Villalta, Ervin Ramirez"
7,AES2475,Angas alto,Angas,Azuay,NA,689997,9679823,3949,"Cristian Villalta, Ervin Ramirez"
8,AES2516,Angas alto,Angas,Azuay,NA,689997,9679823,3949,"Cristian Villalta, Ervin Ramirez"
9,AES2528,Angas alto,Angas,Azuay,NA,684889,9678786,3218,"Cristian Villalta, Ervin Ramirez"
10,AES2539,Angas medio,Angas,Azuay,NA,684889,9678786,3218,"Cristian Villalta, Ervin Ramirez"
11,AES2555,Angas alto,Angas,Azuay,NA,689997,9679823,3949,"Cristian Villalta, Ervin Ramirez"
12,AES2557,Angas alto,Angas,Azuay,NA,684889,9678786,3218,"Cristian Villalta, Ervin Ramirez"
13,KU218254,NA,NA,NA,NA,,,2997,
14,MECN02505,Tapichalaca,Tapichalaca,Zamora Chinchipe,NA,NA,NA,NA,NA
15,MECN10799,Chivaturco,Chivaturco,El Oro,NA,NA,NA,NA,NA
16,MECN10810,Chivaturco,Chivaturco,El Oro,NA,NA,NA,NA,NA
17,MECN10869,Cerro de Arcos,Cerro de Arcos,El Oro,11/25/2013,-3.564078,-79469494,3665,"Juan Carlos Sánchez, Paúl Alejandro Meza Ramos│Karem López│Edison Rea"
18,MECN10870,Cerro de Arcos,Cerro de Arcos,El Oro,11/25/2013,-3.564078,-79469494,3665,"Juan Carlos Sánchez, Paúl Alejandro Meza Ramos│Karem López│Edison Rea"
19,MECN10871,Cerro de Arcos,Cerro de Arcos,El Oro,11/25/2013,-3.564078,-79469494,3665,"Juan Carlos Sánchez, Paúl Alejandro Meza Ramos│Karem López│Edison Rea"
20,MECN11388,La Enramada,La Enramada,El Oro,2/19/2014,-3.163184,-79.595633,2883,"Juan Carlos Sánchez, Karem López│Luis Alfredo Oyagata Cachimuel│Paúl Guerrero"
21,MECN11389,La Enramada,La Enramada,El Oro,2/19/2014,-3.163184,-79.595633,2883,"Juan Carlos Sánchez, Karem López│Luis Alfredo Oyagata Cachimuel│Paúl Guerrero"
22,MECN11393,La Enramada,La Enramada,El Oro,2/19/2014,-3.163184,-79.595633,2883,"Juan Carlos Sánchez, Karem López│Luis Alfredo Oyagata Cachimuel│Paúl Guerrero"
23,MECN11394,La Enramada,La Enramada,El Oro,2/19/2014,-3.163184,-79.595633,2883,"Juan Carlos Sánchez, Karem López│Luis Alfredo Oyagata Cachimuel│Paúl Guerrero"
24,MECN11395,La Enramada,La Enramada,El Oro,2/19/2014,-3.163184,-79.595633,2883,"Juan Carlos Sánchez, Karem López│Luis Alfredo Oyagata Cachimuel│Paúl Guerrero"
25,MECN11396,La Enramada,La Enramada,El Oro,2/19/2014,-3.163184,-79.595633,2883,"Juan Carlos Sánchez, Karem López│Luis Alfredo Oyagata Cachimuel│Paúl Guerrero"
26,MECN11398,La Enramada,La Enramada,El Oro,2/19/2014,-3.163184,-79.595633,2883,"Juan Carlos Sánchez, Karem López│Luis Alfredo Oyagata Cachimuel│Paúl Guerrero"
27,MECN11963,Molleturo,Molleturo,Azuay,9/22/2013,-2.830066,-79.364369,3757,Estella Patricia Bejarano Muñoz
28,MECN11964,Molleturo,Molleturo,Azuay,9/22/2013,-2.820367875,-79.38132737,3792,Estella Patricia Bejarano Muñoz
29,MECN12214,Cerro Sambalan,Sangay,Morona Santiago,NA,-2.199138889,-78.44727778,3337,Jorge Brito
30,MECN12219,Sangay,Sangay,Morona Santiago,NA,-2.392805556,-78.30480556,2576,Jorge Brito
31,MECN12222,Sangay,Sangay,Morona Santiago,NA,-2.388944,-78.8645728,2382,Jorge Brito
32,MECN12223,NA,NA,NA,NA,NA,NA,NA,NA
33,MECN12232,Cerro Sambalan,Sangay,Morona Santiago,NA,NA,NA,3358,Jorge Brito
34,MECN12235,Rio Blanco,Sangay,Morona Santiago,NA,"-2,198,888","-78,447,222",3337,Jorge Brito
35,MECN12237,Rio Blanco,Sangay,Morona Santiago,NA,"-2,198,888","-78,447,222",3337,Jorge Brito
36,MECN12239,Rio Blanco,Sangay,Morona Santiago,NA,"-2,198,888","-78,447,222",3337,Jorge Brito
37,MECN12865,NA,NA,NA,NA,NA,NA,NA,NA
38,MECN13062,Paquisha,Paquisha,Morona Santiago,NA,-3.910324,-78.5009,1740,Jorge Brito
39,MECN13289,NA,NA,NA,NA,NA,NA,NA,NA
40,MECN3112,Tapichalaca,Tapichalaca,Zamora Chinchipe,NA,NA,NA,2300,Mario Yanez
41,MECN8177,Tapichalaca,Tapichalaca,Zamora Chinchipe,NA,NA,NA,2300,Mario Yanez
42,MECN8184,Tapichalaca,Tapichalaca,Zamora Chinchipe,NA,NA,NA,2300,Mario Yanez
43,MECN8185,Tapichalaca,Tapichalaca,Zamora Chinchipe,NA,NA,NA,2300,Mario Yanez
44,MECN8186,Tapichalaca,Tapichalaca,Zamora Chinchipe,NA,NA,NA,2300,Mario Yanez
45,MECN8187,Tapichalaca,Tapichalaca,Zamora Chinchipe,NA,NA,NA,2300,Mario Yanez
46,MECN8188,Tapichalaca,Tapichalaca,Zamora Chinchipe,NA,NA,NA,2300,Mario Yanez
47,MECN8189,Tapichalaca,Tapichalaca,Zamora Chinchipe,NA,NA,NA,2300,Mario Yanez
48,MECN8190,Tapichalaca,Tapichalaca,Zamora Chinchipe,NA,NA,NA,2300,Mario Yanez
49,MECN8192,Tapichalaca,Tapichalaca,Zamora Chinchipe,NA,NA,NA,2300,Mario Yanez
50,MECN8193,Tapichalaca,Tapichalaca,Zamora Chinchipe,NA,NA,NA,2300,Mario Yanez
51,MECN8194,Tapichalaca,Tapichalaca,Zamora Chinchipe,NA,NA,NA,2300,Mario Yanez
52,MECN8195,Tapichalaca,Tapichalaca,Zamora Chinchipe,NA,NA,NA,2300,Mario Yanez
53,MECN9656,Tapichalaca,Tapichalaca,Zamora Chinchipe,NA,NA,NA,2300,Mario Yanez
54,MUTPL0403,Rio Blanco,Tapichalaca,Zamora Chinchipe,NA,NA,NA,2300,Mario Yanez
55,MUTPL127,Cerro Toledo,Podocarpus,Loja,5/10/2016,-4.393341,-79.110389,3359,Paul Székely
56,MUTPL136,Bosque Protector Washapamba,Bosque Protector Washapamba,Loja,5/30/2016,-3.658522,-79.269146,2923,Paul Székely
57,MUTPL137,Bosque Protector Washapamba,Bosque Protector Washapamba,Loja,5/30/2016,-3.662531,-79.269388,2961,Paul Székely
58,MUTPL141,Bosque Protector Washapamba,Bosque Protector Washapamba,Loja,5/30/2016,-3.662686,-79.269482,2964,Paul Székely
59,MUTPL142,Bosque Protector Washapamba,Bosque Protector Washapamba,Loja,5/30/2016,-3.663558,-79.269103,3003,Paul Székely
60,MUTPL149,Bosque Protector Washapamba,Bosque Protector Washapamba,Loja,6/30/2016,-3.663459,-79.269168,2995,Paul Székely
61,MUTPL151,Bosque Protector Washapamba,Bosque Protector Washapamba,Loja,6/30/2016,-3.662938,-79.269371,2975,Paul Székely
62,MUTPL157,Bosque Protector Washapamba,Bosque Protector Washapamba,Loja,6/30/2016,-3.663234,-79.269183,2985,Paul Székely
63,MUTPL158,Bosque Protector Washapamba,Bosque Protector Washapamba,Loja,6/30/2016,-3.663234,-79.269183,2985,Paul Székely
64,MUTPL160,Bosque Protector Washapamba,Bosque Protector Washapamba,Loja,6/30/2016,-3.663459,-79.269168,2995,Paul Székely
65,MUTPL161,Bosque Protector Washapamba,Bosque Protector Washapamba,Loja,6/30/2016,-3.660126,-79.268816,2933,Paul Székely
66,MUTPL162,Bosque Protector Washapamba,Bosque Protector Washapamba,Loja,6/30/2016,-3.660126,-79.268816,2933,Paul Székely
67,MUTPL163,Bosque Protector Washapamba,Bosque Protector Washapamba,Loja,6/30/2016,-3.662938,-79.269371,2975,Paul Székely
68,MUTPL165,Bosque Protector Washapamba,Bosque Protector Washapamba,Loja,6/30/2016,-3.662339,-79.26929,2953,Paul Székely
