record_id,museum_id,gene_12s,fragment_16sc,fragment_16h,gene_RAG_1
1,AES2475,NA,853,628,NA
2,AES2516,386,NA,425,NA
3,AES2528,NA,805,643,507
4,AES2539,585,868,693,NA
5,AES2557,300,817,701,NA
6,MECN10870,516,728,658,542
7,MECN10871,525,813,383,341
8,MECN11389,629,NA,566,NA
9,MECN11395,526,849,NA,560
10,MECN11398,473,814,NA,NA
11,MECN11963,NA,831,NA,441
12,MECN11964,NA,879,678,568
13,MECN12214,NA,NA,NA,NA
14,MECN12219,503,896,587,997
15,MECN12222,573,NA,657,557
16,MECN12232,NA,NA,NA,NA
17,MECN12237,NA,NA,NA,NA
18,MECN13062,484,NA,630,873
19,MECN3112,NA,NA,NA,NA
20,MEPN14722,NA,NA,NA,NA
21,MEPN14737,NA,NA,NA,NA
22,MUTPL127,NA,NA,NA,NA
23,MUTPL136,NA,843,551,NA
24,MUTPL137,650,848,628,NA
25,MUTPL141,652,788,661,551
26,MUTPL142,621,828,665,NA
27,MUTPL149,597,855,399,503
28,MUTPL151,596,834,401,543
29,MUTPL157,605,838,658,NA
30,MUTPL158,631,807,603,594
31,MUTPL160,628,796,642,NA
32,MUTPL161,610,840,651,532
33,MUTPL162,334,819,656,492
34,MUTPL163, ,832,NA,NA
35,MUTPL165,647,825,670,NA
36,MUTPL166,NA,827,657,493
37,MUTPL174,561,850,647,528
38,MUTPL193,NA,NA,NA,NA
39,MUTPL195,678,879,662,NA
40,MUTPL206,NA,851,NA,NA
41,MUTPL239,NA,NA,NA,NA
42,MUTPL242,621,815,629,NA
43,MUTPL247,636,875,707,565
44,MUTPL248,NA,NA,NA,NA
45,MUTPL249,539,866,709,NA
46,MUTPL259,NA,824,642,NA
47,MUTPL296,NA,NA,NA,NA
48,MUTPL311,612,837,645,NA
49,MUTPL311,612,837,645,265
50,MUTPL353,NA,NA,NA,NA
51,MUTPL357,NA,NA,NA,NA
52,MUTPL362,NA,NA,NA,NA
53,MUTPL363,NA,NA,NA,NA
54,MUTPL365,NA,NA,NA,NA
55,MUTPL366,NA,NA,NA,NA
56,MUTPL388,NA,NA,NA,NA
57,MUTPL394,NA,NA,NA,NA
