measurement_id,museum_id,EN_mm,TD_mm,ED_mm,EW_mm,IOD_mm,IND_mm,HL_mm,HW_mm,SVL_mm,TL_mm,FL_mm,FDW_mm,TDW_mm,HANDL_mm,Finger.width_mm
52,AES2208,1.15,0.53,1.28,1.6,1.96,1.08,6.1,6.17,15.92,6.1,6.15,0.46,0.47,NA,NA
88,AES2392,1.41,0.62,1.63,1.69,2.01,1.15,4.74,6.94,15.86,5.63,6.2,0.5,0.44,4.02,0.42
140,AES2457,2.08,1,1.67,1.28,2.27,1.49,5.81,6.5,18.76,8.5,6.96,0.92,1.02,4.58,0.62
45,AES2464,1.41,0.76,1.33,1.55,1.9,1.47,5.57,5.79,15.08,6.17,6.35,0.52,0.68,NA,NA
293,AES2475,1.59,0.93,1.88,1.47,2.98,1.73,6.37,7.15,18.8,8.21,7.85,0.68,0.68,4.66,0.62
89,AES2516,1.45,0.79,1.23,1.61,2.18,1.19,4.75,7.64,19.03,7.21,7.62,0.47,0.52,NA,NA
78,AES2528,1.47,0.8,1.28,1.73,1.97,1.32,6.34,7.12,18.06,8.13,8.43,0.54,0.51,NA,NA
50,AES2539,1.74,1.25,2.42,1.98,2.64,1.87,6.52,7.97,19.91,8.9,9.01,0.75,0.71,4.99,0.54
80,AES2555,2.35,1.19,2.54,2.15,2.95,2.15,8.58,9.73,26.94,11.36,10.83,0.91,0.96,6.28,0.63
81,AES2557,1.24,0.89,1.66,1.75,1.89,1.31,7.79,7.81,23.62,8.79,8.91,0.85,0.81,4.76,0.48
103,MECN02505,1.74,0.73,1.63,1.55,1.73,1.21,5.45,6.5,16.99,8.64,9.2,0.8,0.68,NA,NA
2,MECN10799,3.54,1,1.54,1.24,2.51,2.58,9.04,8.63,20.9,10.75,8.96,0.62,0.65,NA,NA
260,MECN10810,2.37,1.23,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,MECN10869,1.87,1.23,2.27,1.45,2.59,1.8,7.61,7.51,22.21,8.9,8.87,0.46,0.65,5.2,0.47
164,MECN10871,1.83,1.04,2.48,2.17,2.7,1.91,7.75,8.3,22.15,9.23,9.17,0.71,0.7,5.31,0.55
57,MECN11388,1.63,0.83,1.85,1.41,2.26,1.33,6.4,7.96,21.4,10.04,9.41,0.69,0.71,NA,NA
60,MECN11393,1.7,1.27,1.72,1.52,3.05,1.77,7.01,8.72,24.75,10.06,10.32,0.76,0.76,NA,NA
59,MECN11394,1.01,0.71,1.17,1.08,1.24,1.04,4.13,4.77,14.45,6.38,6.09,0.34,0.49,NA,NA
